company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes,departure_delay,ground_time_pressure,scheduled_flight_duration,ground_time_diff,total_pax,children_count,stroller_users,lap_child_count,ssr_count,Hot Transfer,checked_bags,transfer_bags,load_factor,transfer_bag_ratio,difficulty_score,daily_rank,difficulty_class
UA,307,2025-08-14,ORD,COS,2025-08-14 09:15:00+00:00,2025-08-14 11:08:00+00:00,2025-08-14 09:11:00+00:00,2025-08-14 10:44:00+00:00,179,B737-MAX9,Mainline,94,85,56,-4.0,-38,113.0,38,147,7,3,2,2.0,6,55,24,0.8212290502793296,0.3037974683544304,2.8699182449366107,486.0,Easy
UA,1538,2025-08-08,ORD,SAV,2025-08-08 11:05:00+00:00,2025-08-08 14:34:00+00:00,2025-08-08 10:59:00+00:00,2025-08-08 14:11:00+00:00,126,B737-700,Mainline,100,108,43,-6.0,-57,209.0,57,188,13,5,3,3.0,0,69,18,1.0,0.20689655172413793,3.1101713228107912,398.0,Medium
UA,1006,2025-08-02,ORD,LGA,2025-08-02 18:00:00+00:00,2025-08-02 21:20:00+00:00,2025-08-02 19:00:00+00:00,2025-08-02 22:10:00+00:00,166,B737-800,Mainline,63,55,51,60.0,-12,200.0,12,199,11,1,0,7.0,4,37,32,1.0,0.463768115942029,3.605398623705909,162.0,Medium
G7,4395,2025-08-14,ORD,TVC,2025-08-14 18:15:00+00:00,2025-08-14 20:38:00+00:00,2025-08-14 19:41:00+00:00,2025-08-14 21:46:00+00:00,50,CRJ-550,Express,132,124,29,86.0,-103,143.0,103,51,1,0,1,2.0,3,3,31,1.0,0.9117647058823529,3.675189489822664,56.0,Difficult
UA,1538,2025-08-06,ORD,SAV,2025-08-06 11:05:00+00:00,2025-08-06 14:34:00+00:00,2025-08-06 10:57:00+00:00,2025-08-06 14:09:00+00:00,126,B737-700,Mainline,95,81,43,-8.0,-52,209.0,52,116,3,0,0,5.0,0,38,31,0.9206349206349206,0.4492753623188406,3.241878282172541,277.0,Medium
UA,2138,2025-08-08,ORD,LGA,2025-08-08 14:05:00+00:00,2025-08-08 17:27:00+00:00,2025-08-08 14:01:00+00:00,2025-08-08 17:13:00+00:00,166,B737-800,Mainline,62,87,51,-4.0,-11,202.0,11,167,3,0,0,0.0,21,32,20,1.0,0.38461538461538464,2.972732992454655,462.0,Easy
G7,4481,2025-08-15,ORD,GRR,2025-08-15 07:00:00+00:00,2025-08-15 09:07:00+00:00,2025-08-15 06:56:00+00:00,2025-08-15 09:01:00+00:00,50,CRJ-550,Express,644,632,29,-4.0,-615,127.0,615,41,0,0,0,0.0,9,0,28,0.82,1.0,3.4374695184378545,162.0,Medium
OO,5108,2025-08-14,ORD,SLN,2025-08-14 16:45:00+00:00,2025-08-14 18:50:00+00:00,2025-08-14 16:39:00+00:00,2025-08-14 18:33:00+00:00,50,CRJ-200,Express,85,82,29,-6.0,-56,125.0,56,47,2,0,0,1.0,3,23,15,0.94,0.39473684210526316,2.9560313546642236,449.0,Easy
YX,3568,2025-08-15,ORD,YYZ,2025-08-15 10:50:00+00:00,2025-08-15 13:42:00+00:00,2025-08-15 10:48:00+00:00,2025-08-15 13:40:00+00:00,76,ERJ-175,Express,75,64,42,-2.0,-33,172.0,33,83,1,0,1,1.0,4,27,15,1.0,0.35714285714285715,2.957149833015059,453.0,Easy
OO,4739,2025-08-03,ORD,GRB,2025-08-03 15:35:00+00:00,2025-08-03 16:48:00+00:00,2025-08-03 15:34:00+00:00,2025-08-03 16:40:00+00:00,50,CRJ-200,Express,69,63,29,-1.0,-40,73.0,40,61,3,1,1,1.0,9,17,26,1.0,0.6046511627906976,3.2910628903945147,277.0,Medium
UA,664,2025-08-02,ORD,LGA,2025-08-02 16:00:00+00:00,2025-08-02 19:20:00+00:00,2025-08-02 16:01:00+00:00,2025-08-02 19:10:00+00:00,166,B737-800,Mainline,400,59,51,1.0,-349,200.0,349,198,11,3,1,6.0,0,65,29,1.0,0.30851063829787234,3.348792187715773,332.0,Medium
OO,5517,2025-08-04,ORD,PVD,2025-08-04 18:15:00+00:00,2025-08-04 21:54:00+00:00,2025-08-04 18:14:00+00:00,2025-08-04 21:40:00+00:00,76,ERJ-175,Express,87,86,34,-1.0,-53,219.0,53,78,2,2,0,1.0,1,13,31,1.0,0.7045454545454546,3.3917627104222965,162.0,Medium
UA,1156,2025-08-08,ORD,MSY,2025-08-08 19:55:00+00:00,2025-08-08 22:25:00+00:00,2025-08-08 20:14:00+00:00,2025-08-08 22:35:00+00:00,179,B737-900,Mainline,62,61,56,19.0,-6,150.0,6,215,12,4,2,2.0,7,43,71,1.0,0.6228070175438597,3.53733464620472,122.0,Difficult
G7,4387,2025-08-06,ORD,CID,2025-08-06 09:20:00+00:00,2025-08-06 10:40:00+00:00,2025-08-06 09:05:00+00:00,2025-08-06 10:30:00+00:00,50,CRJ-550,Express,75,73,29,-15.0,-46,80.0,46,67,4,1,0,0.0,0,4,38,1.0,0.9047619047619048,3.6139824091755965,72.0,Difficult
UA,1361,2025-08-11,ORD,STL,2025-08-11 21:20:00+00:00,2025-08-11 22:45:00+00:00,2025-08-11 21:40:00+00:00,2025-08-11 23:34:00+00:00,126,A319-100,Mainline,60,52,43,20.0,-17,85.0,17,137,6,0,0,2.0,23,4,71,1.0,0.9466666666666667,3.8138571283240754,17.0,Difficult
UA,2323,2025-08-03,ORD,MCO,2025-08-03 09:15:00+00:00,2025-08-03 13:10:00+00:00,2025-08-03 09:09:00+00:00,2025-08-03 12:48:00+00:00,200,A321-2NX,Mainline,97,99,62,-6.0,-35,235.0,35,297,24,5,2,3.0,0,144,27,1.0,0.15789473684210525,3.256982687445587,299.0,Medium
OO,5229,2025-08-13,ORD,ILM,2025-08-13 11:59:00+00:00,2025-08-13 15:24:00+00:00,2025-08-13 11:54:00+00:00,2025-08-13 14:59:00+00:00,76,ERJ-175,Express,47,39,34,-5.0,-13,205.0,13,62,2,1,0,0.0,1,12,10,0.8157894736842105,0.45454545454545453,2.841988291127284,475.0,Easy
YX,3700,2025-08-02,ORD,BNA,2025-08-02 07:25:00+00:00,2025-08-02 09:13:00+00:00,2025-08-02 07:40:00+00:00,2025-08-02 09:15:00+00:00,76,ERJ-175,Express,5,33,34,15.0,29,108.0,-29,80,1,0,0,1.0,3,21,26,1.0,0.5531914893617021,3.1951203526575505,418.0,Easy
G7,4610,2025-08-15,ORD,XNA,2025-08-15 12:41:00+00:00,2025-08-15 14:35:00+00:00,2025-08-15 12:38:00+00:00,2025-08-15 14:28:00+00:00,50,CRJ-550,Express,59,71,29,-3.0,-30,114.0,30,52,2,0,0,0.0,6,5,17,1.0,0.7727272727272727,3.4190314609193933,177.0,Medium
UA,1414,2025-08-13,ORD,BOI,2025-08-13 08:45:00+00:00,2025-08-13 11:43:00+00:00,2025-08-13 08:40:00+00:00,2025-08-13 11:09:00+00:00,150,A320-200,Mainline,59,78,46,-5.0,-13,178.0,13,158,8,5,0,5.0,22,29,41,1.0,0.5857142857142857,3.5847652183012007,114.0,Difficult
UA,1156,2025-08-13,ORD,MSY,2025-08-13 19:55:00+00:00,2025-08-13 22:25:00+00:00,2025-08-13 19:56:00+00:00,2025-08-13 22:17:00+00:00,179,B737-MAX9,Mainline,73,62,56,1.0,-17,150.0,17,72,2,1,0,1.0,6,20,22,0.4022346368715084,0.5238095238095238,2.540533797615922,515.0,Easy
UA,247,2025-08-13,ORD,OMA,2025-08-13 12:45:00+00:00,2025-08-13 14:22:00+00:00,2025-08-13 12:38:00+00:00,2025-08-13 14:07:00+00:00,150,A320-200,Mainline,69,86,46,-7.0,-23,97.0,23,114,5,0,0,1.0,17,10,34,0.76,0.7727272727272727,3.2753880327506852,297.0,Medium
UA,2378,2025-08-08,ORD,LAX,2025-08-08 21:42:00+00:00,2025-08-09 00:15:00+00:00,2025-08-08 21:50:00+00:00,2025-08-08 23:59:00+00:00,200,A321-2NX,Mainline,77,94,62,8.0,-15,153.0,15,238,15,5,1,4.0,0,50,106,1.0,0.6794871794871795,3.7718822043487856,27.0,Difficult
OO,5930,2025-08-14,ORD,FAR,2025-08-14 13:20:00+00:00,2025-08-14 15:29:00+00:00,2025-08-14 15:00:00+00:00,2025-08-14 16:49:00+00:00,50,CRJ-200,Express,205,91,29,100.0,-176,129.0,176,53,1,0,2,6.0,1,25,21,1.0,0.45652173913043476,3.3479268011114383,222.0,Medium
YX,3628,2025-08-11,ORD,IND,2025-08-11 17:50:00+00:00,2025-08-11 20:03:00+00:00,2025-08-11 17:45:00+00:00,2025-08-11 19:54:00+00:00,76,ERJ-175,Express,45,38,34,-5.0,-11,133.0,11,76,0,0,0,2.0,14,30,21,1.0,0.4117647058823529,3.060609335597756,402.0,Medium
OO,5564,2025-08-01,ORD,SBN,2025-08-01 14:20:00+00:00,2025-08-01 16:18:00+00:00,2025-08-01 14:29:00+00:00,2025-08-01 16:29:00+00:00,50,CRJ-550,Express,57,87,29,9.0,-28,118.0,28,55,1,1,1,0.0,2,1,33,1.0,0.9705882352941176,3.6379474539006837,78.0,Difficult
UA,2361,2025-08-13,ORD,LAX,2025-08-13 07:10:00+00:00,2025-08-13 09:40:00+00:00,2025-08-13 07:07:00+00:00,2025-08-13 09:15:00+00:00,234,B757-300,Mainline,662,498,66,-3.0,-596,150.0,596,143,5,1,0,0.0,17,55,30,0.6111111111111112,0.35294117647058826,2.532631109901028,516.0,Easy
YX,3520,2025-08-05,ORD,CVG,2025-08-05 21:16:00+00:00,2025-08-05 23:46:00+00:00,2025-08-05 21:16:00+00:00,2025-08-05 23:30:00+00:00,76,ERJ-175,Express,162,166,34,0.0,-128,150.0,128,71,4,1,2,1.0,16,3,12,0.9342105263157895,0.8,3.4702478256066063,186.0,Medium
G7,4546,2025-08-06,ORD,AVP,2025-08-06 18:35:00+00:00,2025-08-06 21:43:00+00:00,2025-08-06 19:14:00+00:00,2025-08-06 22:06:00+00:00,50,CRJ-550,Express,-5,23,29,39.0,34,188.0,-34,46,0,0,0,2.0,0,8,20,0.92,0.7142857142857143,3.340496666640074,220.0,Medium
OO,5362,2025-08-14,ORD,MKE,2025-08-14 21:40:00+00:00,2025-08-14 22:45:00+00:00,2025-08-14 21:35:00+00:00,2025-08-14 22:20:00+00:00,50,CRJ-200,Express,90,66,29,-5.0,-61,65.0,61,60,3,1,0,3.0,0,17,38,1.0,0.6909090909090909,3.504764880077094,124.0,Difficult
OO,5251,2025-08-03,ORD,ASE,2025-08-03 19:35:00+00:00,2025-08-03 21:44:00+00:00,2025-08-03 19:43:00+00:00,2025-08-03 22:00:00+00:00,70,ERJ-175,Express,68,91,34,8.0,-34,129.0,34,73,4,1,0,3.0,13,30,15,1.0,0.3333333333333333,3.09545972451118,400.0,Medium
G7,4429,2025-08-07,ORD,FSD,2025-08-07 15:52:00+00:00,2025-08-07 17:44:00+00:00,2025-08-07 15:51:00+00:00,2025-08-07 17:36:00+00:00,50,CRJ-550,Express,57,78,29,-1.0,-28,112.0,28,50,1,0,0,2.0,3,3,18,1.0,0.8571428571428571,3.6129241112302823,68.0,Difficult
UA,1899,2025-08-01,ORD,YYC,2025-08-01 20:05:00+00:00,2025-08-01 22:53:00+00:00,2025-08-01 21:19:00+00:00,2025-08-01 23:47:00+00:00,126,A319-100,Mainline,70,102,52,74.0,-18,168.0,18,178,13,4,0,7.0,2,51,36,1.0,0.41379310344827586,3.5823754438473863,115.0,Difficult
UA,2137,2025-08-03,ORD,SLC,2025-08-03 09:02:00+00:00,2025-08-03 11:40:00+00:00,2025-08-03 09:00:00+00:00,2025-08-03 11:40:00+00:00,166,B737-800,Mainline,68,76,51,-2.0,-17,158.0,17,180,9,4,1,2.0,12,31,46,1.0,0.5974025974025974,3.4505541986955643,158.0,Medium
UA,1576,2025-08-10,ORD,LGA,2025-08-10 20:00:00+00:00,2025-08-10 23:22:00+00:00,2025-08-10 20:00:00+00:00,2025-08-10 23:34:00+00:00,166,B737-800,Mainline,80,73,51,0.0,-29,202.0,29,170,2,0,0,2.0,0,37,13,1.0,0.26,2.914913589289711,480.0,Easy
UA,2004,2025-08-11,ORD,SYR,2025-08-11 13:45:00+00:00,2025-08-11 16:44:00+00:00,2025-08-11 13:53:00+00:00,2025-08-11 16:39:00+00:00,150,A320-200,Mainline,84,102,46,8.0,-38,179.0,38,171,7,3,3,7.0,18,19,64,1.0,0.7710843373493976,3.8986221269133177,13.0,Difficult
UA,343,2025-08-02,ORD,SFO,2025-08-02 10:53:00+00:00,2025-08-02 13:40:00+00:00,2025-08-02 10:52:00+00:00,2025-08-02 13:23:00+00:00,200,A321-2NX,Mainline,1079,1115,62,-1.0,-1017,167.0,1017,274,22,4,1,2.0,0,94,34,1.0,0.265625,3.250537014995219,391.0,Easy
UA,2370,2025-08-11,ORD,BOS,2025-08-11 14:28:00+00:00,2025-08-11 18:06:00+00:00,2025-08-11 14:28:00+00:00,2025-08-11 18:06:00+00:00,179,B737-900,Mainline,79,69,56,0.0,-23,218.0,23,201,5,2,1,5.0,1,75,56,1.0,0.42748091603053434,3.3386337758729914,225.0,Medium
UA,2189,2025-08-01,ORD,LGA,2025-08-01 13:00:00+00:00,2025-08-01 16:20:00+00:00,2025-08-01 12:56:00+00:00,2025-08-01 15:56:00+00:00,166,B737-MAX8,Mainline,96,94,60,-4.0,-36,200.0,36,186,6,1,1,1.0,2,56,5,1.0,0.08196721311475409,2.7198310823994882,549.0,Easy
UA,481,2025-08-12,ORD,RNO,2025-08-12 19:52:00+00:00,2025-08-12 22:19:00+00:00,2025-08-12 22:01:00+00:00,2025-08-13 00:27:00+00:00,126,B737-700,Mainline,95,51,43,129.0,-52,147.0,52,77,3,0,0,3.0,1,23,49,0.6111111111111112,0.6805555555555556,3.0790227545159032,312.0,Medium
UA,1209,2025-08-15,ORD,EWR,2025-08-15 21:25:00+00:00,2025-08-16 00:46:00+00:00,2025-08-15 21:30:00+00:00,2025-08-16 00:46:00+00:00,179,B737-900,Mainline,67,55,56,5.0,-11,201.0,11,218,13,5,1,4.0,19,51,52,1.0,0.5048543689320388,3.5252885074847695,104.0,Difficult
UA,2177,2025-08-15,ORD,MSN,2025-08-15 14:00:00+00:00,2025-08-15 15:03:00+00:00,2025-08-15 14:30:00+00:00,2025-08-15 15:36:00+00:00,126,A319-100,Mainline,9,42,43,30.0,34,63.0,-34,138,4,1,2,2.0,21,0,65,1.0,1.0,3.842878797127103,17.0,Difficult
UA,909,2025-08-13,ORD,AMS,2025-08-13 18:15:00+00:00,2025-08-14 09:20:00+00:00,2025-08-13 18:49:00+00:00,2025-08-14 09:24:00+00:00,243,B787-8,Mainline,280,319,95,34.0,-185,905.0,185,262,6,0,1,9.0,0,97,123,1.0,0.5590909090909091,3.7303060267572263,42.0,Difficult
UA,1584,2025-08-05,ORD,LAX,2025-08-05 10:50:00+00:00,2025-08-05 13:23:00+00:00,2025-08-05 10:50:00+00:00,2025-08-05 13:03:00+00:00,200,A321-2NX,Mainline,711,739,62,0.0,-649,153.0,649,265,19,4,5,1.0,0,146,13,1.0,0.08176100628930817,2.934628701249992,452.0,Easy
YX,3690,2025-08-13,ORD,IND,2025-08-13 15:40:00+00:00,2025-08-13 17:53:00+00:00,2025-08-13 15:31:00+00:00,2025-08-13 17:36:00+00:00,76,ERJ-175,Express,57,45,34,-9.0,-23,133.0,23,68,0,0,1,0.0,5,13,34,0.8947368421052632,0.723404255319149,3.2109586665608565,329.0,Medium
YX,3542,2025-08-15,ORD,YUL,2025-08-15 17:58:00+00:00,2025-08-15 21:29:00+00:00,2025-08-15 17:53:00+00:00,2025-08-15 21:27:00+00:00,76,ERJ-175,Express,53,71,42,-5.0,-11,211.0,11,83,2,1,1,2.0,2,22,32,1.0,0.5925925925925926,3.314812101975625,244.0,Medium
OO,4791,2025-08-14,ORD,SBN,2025-08-14 10:35:00+00:00,2025-08-14 12:33:00+00:00,2025-08-14 10:27:00+00:00,2025-08-14 12:20:00+00:00,50,CRJ-550,Express,56,32,29,-8.0,-27,118.0,27,59,3,2,0,2.0,13,1,12,1.0,0.9230769230769231,3.729298037208676,39.0,Difficult
UA,2011,2025-08-11,ORD,YVR,2025-08-11 08:48:00+00:00,2025-08-11 11:33:00+00:00,2025-08-11 09:00:00+00:00,2025-08-11 11:29:00+00:00,150,A320-200,Mainline,67,103,60,12.0,-7,165.0,7,162,5,0,0,1.0,16,53,68,1.0,0.5619834710743802,3.2785145322143205,260.0,Medium
UA,1946,2025-08-15,ORD,LGA,2025-08-15 15:00:00+00:00,2025-08-15 18:20:00+00:00,2025-08-15 14:59:00+00:00,2025-08-15 18:15:00+00:00,166,B737-MAX8,Mainline,105,114,51,-1.0,-54,200.0,54,196,10,1,2,6.0,1,46,11,1.0,0.19298245614035087,3.2044583548843417,322.0,Medium
OO,5292,2025-08-02,ORD,MTY,2025-08-02 08:45:00+00:00,2025-08-02 11:41:00+00:00,2025-08-02 08:41:00+00:00,2025-08-02 11:46:00+00:00,76,ERJ-175,Express,756,749,42,-4.0,-714,176.0,714,87,4,0,0,2.0,4,47,8,1.0,0.14545454545454545,2.784703341786294,510.0,Easy
UA,845,2025-08-12,ORD,GRU,2025-08-12 21:20:00+00:00,2025-08-13 09:30:00+00:00,2025-08-12 23:15:00+00:00,2025-08-13 11:30:00+00:00,318,B787-10,Mainline,300,379,155,115.0,-145,730.0,145,260,11,5,1,12.0,28,72,216,0.8176100628930818,0.75,4.0268047916200125,4.0,Difficult
YX,3525,2025-08-13,ORD,YYZ,2025-08-13 16:43:00+00:00,2025-08-13 19:37:00+00:00,2025-08-13 16:41:00+00:00,2025-08-13 19:31:00+00:00,76,ERJ-175,Express,58,78,42,-2.0,-16,174.0,16,90,5,1,0,1.0,4,21,22,1.0,0.5116279069767442,3.217694154509756,325.0,Medium
UA,2677,2025-08-06,ORD,IAD,2025-08-06 17:56:00+00:00,2025-08-06 20:55:00+00:00,2025-08-06 21:10:00+00:00,2025-08-07 00:23:00+00:00,176,B757-200,Mainline,231,412,122,194.0,-109,179.0,109,160,4,0,0,1.0,7,38,31,0.9090909090909091,0.4492753623188406,3.023486409448206,390.0,Easy
UA,767,2025-08-13,ORD,DEN,2025-08-13 21:32:00+00:00,2025-08-13 23:22:00+00:00,2025-08-13 22:10:00+00:00,2025-08-13 23:42:00+00:00,200,A321-2NX,Mainline,22,64,62,38.0,40,110.0,-40,202,5,0,0,1.0,0,24,55,1.0,0.6962025316455697,3.441633397900623,206.0,Medium
OO,5026,2025-08-13,ORD,JST,2025-08-13 21:05:00+00:00,2025-08-13 23:55:00+00:00,2025-08-13 21:18:00+00:00,2025-08-14 00:08:00+00:00,50,CRJ-200,Express,40,69,29,13.0,-11,170.0,11,53,3,1,1,3.0,12,13,11,1.0,0.4583333333333333,3.22786119758286,322.0,Medium
OO,5493,2025-08-05,ORD,ATW,2025-08-05 11:05:00+00:00,2025-08-05 12:18:00+00:00,2025-08-05 11:01:00+00:00,2025-08-05 12:08:00+00:00,50,CRJ-200,Express,106,116,29,-4.0,-77,73.0,77,53,1,0,1,0.0,1,25,27,1.0,0.5192307692307693,3.0941750125599237,402.0,Easy
G7,4519,2025-08-06,ORD,SCE,2025-08-06 18:20:00+00:00,2025-08-06 21:24:00+00:00,2025-08-06 18:08:00+00:00,2025-08-06 21:04:00+00:00,50,CRJ-550,Express,70,62,29,-12.0,-41,184.0,41,43,1,0,0,0.0,0,3,12,0.86,0.8,3.2837367224198406,247.0,Medium
OO,4791,2025-08-04,ORD,SBN,2025-08-04 10:35:00+00:00,2025-08-04 12:33:00+00:00,2025-08-04 10:30:00+00:00,2025-08-04 12:20:00+00:00,50,CRJ-550,Express,56,60,29,-5.0,-27,118.0,27,45,0,0,0,0.0,10,1,13,0.9,0.9285714285714286,3.4625834004791956,112.0,Difficult
UA,592,2025-08-03,ORD,JAC,2025-08-03 16:50:00+00:00,2025-08-03 19:05:00+00:00,2025-08-03 16:59:00+00:00,2025-08-03 18:57:00+00:00,126,B737-700,Mainline,57,89,43,9.0,-14,135.0,14,161,9,0,2,1.0,7,41,64,1.0,0.6095238095238096,3.409675331281264,191.0,Medium
G7,4590,2025-08-01,ORD,MDT,2025-08-01 16:45:00+00:00,2025-08-01 19:52:00+00:00,2025-08-01 16:36:00+00:00,2025-08-01 19:23:00+00:00,50,CRJ-550,Express,42,43,29,-9.0,-13,187.0,13,55,2,0,0,1.0,3,4,19,1.0,0.8260869565217391,3.539362294071178,148.0,Medium
YX,3464,2025-08-13,ORD,PIT,2025-08-13 21:15:00+00:00,2025-08-13 23:58:00+00:00,2025-08-13 21:30:00+00:00,2025-08-13 23:51:00+00:00,76,ERJ-175,Express,142,48,39,15.0,-103,163.0,103,76,1,0,0,0.0,10,10,26,1.0,0.7222222222222222,3.336627398319396,267.0,Medium
OO,5963,2025-08-14,ORD,BDL,2025-08-14 14:09:00+00:00,2025-08-14 17:36:00+00:00,2025-08-14 14:22:00+00:00,2025-08-14 17:59:00+00:00,70,ERJ-175,Express,59,74,34,13.0,-25,207.0,25,74,1,0,1,5.0,4,18,24,1.0,0.5714285714285714,3.436864868635606,168.0,Medium
OO,5447,2025-08-10,ORD,PVD,2025-08-10 11:05:00+00:00,2025-08-10 14:39:00+00:00,2025-08-10 10:59:00+00:00,2025-08-10 14:42:00+00:00,70,ERJ-175,Express,71,33,34,-6.0,-37,214.0,37,67,4,1,0,0.0,0,15,31,0.9571428571428572,0.6739130434782609,3.291764771255453,239.0,Medium
UA,1495,2025-08-05,ORD,TVC,2025-08-05 19:52:00+00:00,2025-08-05 22:12:00+00:00,2025-08-05 19:58:00+00:00,2025-08-05 22:25:00+00:00,150,A320-200,Mainline,57,60,46,6.0,-11,140.0,11,74,2,0,1,0.0,7,4,10,0.49333333333333335,0.7142857142857143,2.8107256446976785,485.0,Easy
UA,2100,2025-08-08,ORD,SLC,2025-08-08 13:11:00+00:00,2025-08-08 15:40:00+00:00,2025-08-08 13:11:00+00:00,2025-08-08 15:36:00+00:00,166,B737-800,Mainline,68,100,51,0.0,-17,149.0,17,191,6,0,2,2.0,6,45,59,1.0,0.5673076923076923,3.3586263590933063,224.0,Medium
UA,2640,2025-08-05,ORD,DCA,2025-08-05 15:00:00+00:00,2025-08-05 18:02:00+00:00,2025-08-05 14:59:00+00:00,2025-08-05 17:48:00+00:00,126,B737-700,Mainline,119,124,51,-1.0,-68,182.0,68,59,0,0,1,2.0,0,17,10,0.46825396825396826,0.37037037037037035,2.4427554268482394,516.0,Easy
UA,224,2025-08-01,ORD,BZN,2025-08-01 09:04:00+00:00,2025-08-01 11:31:00+00:00,2025-08-01 09:10:00+00:00,2025-08-01 11:26:00+00:00,166,B737-800,Mainline,206,84,60,6.0,-146,147.0,146,196,9,2,1,3.0,10,67,52,1.0,0.4369747899159664,3.3079533406477406,298.0,Medium
OO,5392,2025-08-15,ORD,OKC,2025-08-15 19:36:00+00:00,2025-08-15 22:03:00+00:00,2025-08-15 19:40:00+00:00,2025-08-15 21:36:00+00:00,76,ERJ-175,Express,165,130,39,4.0,-126,147.0,126,70,3,1,0,0.0,11,9,28,0.9210526315789473,0.7567567567567568,3.330285455701892,236.0,Medium
OO,5984,2025-08-05,ORD,BIL,2025-08-05 09:20:00+00:00,2025-08-05 11:36:00+00:00,2025-08-05 09:30:00+00:00,2025-08-05 11:29:00+00:00,76,ERJ-175,Express,78,28,34,10.0,-44,136.0,44,100,5,2,1,3.0,0,7,32,1.0,0.8205128205128205,3.6982423149700203,59.0,Difficult
